Pseudo ID,ZIPCODE,gender,Age,S1,S2,S3,S4,Academic Level,ZIPCODE_privacy_0.1
76620b595c,22974,male,20 < Age ≤ 30,12,16,8,14,L1,22974
effa313dc5,68449,male,20 < Age ≤ 30,9,17,16,10,M1,68449
033405d851,52335,male,20 < Age ≤ 30,8,11,7,17,L2,52335
29c0bd33fb,35439,male,20 < Age ≤ 30,16,12,15,12,M2,35439
2cc01f5903,63984,male,20 < Age ≤ 30,19,10,9,10,M2,31909
405937fa40,95114,male,20 < Age ≤ 30,9,9,16,16,L3,95114
1c133eda15,79338,male,20 < Age ≤ 30,19,14,13,20,L3,89340
f4ce1831d5,16644,male,20 < Age ≤ 30,19,12,12,17,M1,16644
4194bc485b,18830,male,20 < Age ≤ 30,10,11,11,9,M1,47563
ec10c3f268,15212,male,20 < Age ≤ 30,18,7,14,12,L1,15212
35953f1f9f,90365,male,20 < Age ≤ 30,11,10,12,12,L2,90365
f10326c01e,48988,male,20 < Age ≤ 30,20,13,14,14,M2,62263
37be90ad7a,40629,male,20 < Age ≤ 30,9,18,13,9,M1,40629
1a28f0a27f,29494,male,20 < Age ≤ 30,11,17,7,15,M1,29494
e90a9b6385,41662,male,20 < Age ≤ 30,17,14,13,15,L3,79993
67d097891a,46322,male,20 < Age ≤ 30,15,19,14,11,L3,46322
bf8c60be12,40662,male,20 < Age ≤ 30,19,12,13,19,L1,40662
f7c14ab0a4,55174,male,20 < Age ≤ 30,17,18,10,12,L1,55174
896a887fa6,9988,male,20 < Age ≤ 30,14,13,15,13,L2,9988
a4c3320d90,49160,male,20 < Age ≤ 30,10,7,10,14,L1,49160
afb7f9a698,81215,male,20 < Age ≤ 30,19,10,7,11,L3,15466
25789b3dfa,25538,male,20 < Age ≤ 30,12,16,18,8,M1,25538
4610fb2896,89336,male,20 < Age ≤ 30,14,16,20,11,M1,89336
30d8177f39,63774,male,20 < Age ≤ 30,15,18,9,10,L3,63774
f67fa756c7,75568,male,20 < Age ≤ 30,7,7,17,17,M1,75568
ac843849b3,43316,male,20 < Age ≤ 30,7,17,19,15,L1,30225
244ad39fe2,10509,male,20 < Age ≤ 30,7,19,20,11,M1,10509
4359a72fff,74225,male,20 < Age ≤ 30,10,19,15,19,L3,82529
a3de28103c,3120,male,20 < Age ≤ 30,19,12,20,10,L3,3120
a3b81b1e03,93624,male,20 < Age ≤ 30,7,8,17,18,L2,93624
7df559af2a,42678,male,20 < Age ≤ 30,14,12,11,12,L1,42678
304e89bc4c,58291,male,20 < Age ≤ 30,13,14,16,7,L2,44634
6859ba3440,64235,male,20 < Age ≤ 30,20,18,7,8,L1,64235
37b28c49b4,37052,male,20 < Age ≤ 30,17,12,12,11,L2,69541
28732ef98d,35099,male,20 < Age ≤ 30,20,7,7,12,M2,35099
c189fc9c71,43999,male,20 < Age ≤ 30,10,17,17,20,M2,43999
54fa590acc,42850,male,20 < Age ≤ 30,13,18,12,14,M2,40879
8d28b7edb2,47291,male,20 < Age ≤ 30,7,9,7,11,M2,47731
c547fe2a6c,12722,male,20 < Age ≤ 30,18,12,16,20,M1,12722
21e015fae4,33861,male,20 < Age ≤ 30,14,20,19,19,L3,14667
3f7f24bc1c,81480,male,20 < Age ≤ 30,10,19,9,16,M1,14977
3f1e3cd99d,25515,male,20 < Age ≤ 30,10,20,10,9,M1,90458
8c47fb90f9,4288,male,20 < Age ≤ 30,8,8,16,20,L2,4288
3b7c4b247d,25610,male,20 < Age ≤ 30,13,9,9,18,M1,39177
62c8e08a12,82516,male,20 < Age ≤ 30,15,12,14,10,M2,87040
6570b483a9,70147,male,20 < Age ≤ 30,9,12,19,14,L3,70147
bdd57fd098,87534,male,20 < Age ≤ 30,13,9,12,20,L1,87534
748b62eb15,35142,male,20 < Age ≤ 30,7,10,9,20,M1,35142
5d45e5db12,30537,male,20 < Age ≤ 30,12,7,14,8,M1,30537
c06c4a3292,36310,male,20 < Age ≤ 30,10,9,9,18,M2,36310
f7a7904ed2,12438,male,20 < Age ≤ 30,15,10,19,12,M1,40896
7c8c93d8f7,24069,male,20 < Age ≤ 30,15,20,13,13,M2,24069
7ecb22520b,19600,male,20 < Age ≤ 30,15,18,8,10,M2,51843
8edac10fc5,84215,male,20 < Age ≤ 30,19,19,7,13,L2,84215
d8dcb8a82b,97663,male,20 < Age ≤ 30,16,16,8,10,M2,97663
edfc03a15a,87356,male,20 < Age ≤ 30,16,17,7,20,L3,87356
56399a85f9,46191,male,20 < Age ≤ 30,12,14,15,16,L2,46191
d1c759a56c,92875,male,20 < Age ≤ 30,17,18,16,19,L1,92875
4f14dbce92,61504,male,20 < Age ≤ 30,11,8,17,13,M2,61504
d311f8e1da,38513,male,20 < Age ≤ 30,12,18,7,12,L3,38227
752e8a674f,9597,male,20 < Age ≤ 30,20,17,10,18,M1,9597
5d20d32005,97528,male,20 < Age ≤ 30,9,11,15,14,L3,97528
c532782087,12452,male,20 < Age ≤ 30,13,17,17,11,L3,12452
5b11832946,17413,male,20 < Age ≤ 30,7,7,17,16,M1,19955
83cafd6d0d,13453,male,20 < Age ≤ 30,18,11,12,11,L3,13453
d62676e316,62701,male,20 < Age ≤ 30,12,8,10,10,M1,62701
482d2853e7,23409,male,20 < Age ≤ 30,15,7,14,11,M1,23409
38319845de,4608,male,20 < Age ≤ 30,11,20,16,15,M1,4608
37e0edb5a3,59286,male,20 < Age ≤ 30,15,9,16,7,M2,39620
66f50fd576,36198,male,20 < Age ≤ 30,18,8,20,17,L3,36198
968b7b5287,99610,male,20 < Age ≤ 30,13,17,12,16,L3,99610
5d1a6aad44,40016,male,20 < Age ≤ 30,11,19,7,19,M1,40016
5ccde5d2ee,25892,male,20 < Age ≤ 30,17,15,15,11,L2,25060
73604db369,14161,male,20 < Age ≤ 30,9,18,8,8,M1,14161
7f5fa08f10,2854,male,20 < Age ≤ 30,19,8,15,8,M1,2854
015d775875,39264,male,20 < Age ≤ 30,16,16,9,15,M1,39264
09754372c1,21590,male,20 < Age ≤ 30,16,15,7,15,M1,21590
8108e6e7d9,36709,male,20 < Age ≤ 30,20,11,9,19,M2,36709
ab82d83e01,57906,male,20 < Age ≤ 30,13,11,16,11,M2,12821
5a9e19aaa0,48561,male,20 < Age ≤ 30,9,18,15,9,M1,49739
b8311372c7,24609,male,20 < Age ≤ 30,17,20,18,11,L3,24609
52958549c2,94766,male,20 < Age ≤ 30,8,12,10,13,L1,94766
bcf9a21ae6,54455,male,20 < Age ≤ 30,10,13,20,8,M2,54455
f74612fbfe,58987,male,20 < Age ≤ 30,9,12,12,18,M1,58987
3250b37fa8,49149,male,20 < Age ≤ 30,10,11,19,8,M2,49149
f8c844405e,48305,male,20 < Age ≤ 30,15,7,18,13,L1,48305
dd2e030598,22337,male,20 < Age ≤ 30,15,20,8,14,M2,22337
cd341de512,31336,male,20 < Age ≤ 30,20,10,10,14,L3,31336
3ef237f8ac,62480,male,20 < Age ≤ 30,15,16,15,15,M2,64740
d2d4fbb903,40828,male,20 < Age ≤ 30,16,14,11,15,L3,40828
6c2e9a87c2,39266,male,20 < Age ≤ 30,12,17,17,11,L1,39266
912cf8c453,93336,male,20 < Age ≤ 30,12,18,15,18,L1,93336
998b72ba1d,81580,male,20 < Age ≤ 30,12,16,10,18,L2,81580
109c18e132,77986,male,20 < Age ≤ 30,11,7,12,20,L2,77986
68029d3bf7,79185,male,20 < Age ≤ 30,12,16,10,12,M1,80002
6edccd4fdd,26840,male,20 < Age ≤ 30,10,15,19,20,L1,26840
852822da83,40548,male,20 < Age ≤ 30,11,8,7,19,L2,13775
854a8a6065,64254,male,20 < Age ≤ 30,18,12,11,16,L3,64254
5a560e145a,53725,male,20 < Age ≤ 30,19,19,16,15,L1,46329
e269e94503,80732,male,20 < Age ≤ 30,17,19,12,16,L1,80732
79f9a92385,17924,male,20 < Age ≤ 30,16,11,18,16,M2,17924
63f5198438,73712,male,20 < Age ≤ 30,20,15,13,9,M1,48400
8d2552b267,24758,male,20 < Age ≤ 30,11,20,14,15,L3,51936
c317c9e4c4,72604,male,20 < Age ≤ 30,19,19,13,11,M1,72604
107dce01b6,19594,male,20 < Age ≤ 30,8,14,10,10,L2,19594
a17dbe28e0,64157,male,20 < Age ≤ 30,8,20,11,8,M1,64157
e8c59615b3,13751,male,20 < Age ≤ 30,11,11,15,17,L1,65597
1c15e20317,2734,male,20 < Age ≤ 30,17,19,19,15,L3,2734
60c643c0f3,84047,male,20 < Age ≤ 30,15,11,13,12,L3,61144
49aacdf061,25898,male,20 < Age ≤ 30,12,10,9,19,L1,65782
5bc00b13ef,33022,male,20 < Age ≤ 30,20,14,10,16,M2,33022
817adc7b11,8463,male,20 < Age ≤ 30,15,10,14,14,M1,8463
0e0962323e,69493,male,20 < Age ≤ 30,11,15,10,15,L3,69493
231d672b01,81315,male,20 < Age ≤ 30,19,9,19,19,M1,81315
b7ba75cbfc,33260,male,20 < Age ≤ 30,12,9,8,7,L3,33260
d1093a75bb,14437,male,20 < Age ≤ 30,7,16,19,18,M1,46492
749e8eb72f,80523,male,20 < Age ≤ 30,13,10,16,11,L3,80523
8379533699,95522,male,20 < Age ≤ 30,16,8,16,13,M2,95522
ee6dc90ff6,17683,male,20 < Age ≤ 30,9,8,12,16,M1,95819
8ce4ffa264,3372,male,20 < Age ≤ 30,12,18,8,16,M2,3372
9aad5a1898,66798,male,20 < Age ≤ 30,18,13,7,8,L2,86063
b8beb96207,97067,male,20 < Age ≤ 30,20,20,16,18,M1,97067
f0efbb85f4,86416,male,20 < Age ≤ 30,18,15,20,10,L1,86416
25c11e5b32,66319,male,20 < Age ≤ 30,11,14,19,8,L1,66319
6090709f58,39250,male,20 < Age ≤ 30,9,17,18,7,L3,34430
4fb80fbfee,64331,male,20 < Age ≤ 30,13,14,17,9,M2,64331
5384225c16,51541,male,20 < Age ≤ 30,16,12,18,17,M2,51541
f034d7e2de,6153,male,20 < Age ≤ 30,12,20,12,19,M2,6153
242cf6b028,1618,male,20 < Age ≤ 30,20,12,20,9,M1,1618
71d4b76ad5,39141,male,20 < Age ≤ 30,7,7,9,9,M2,60819
b0d890b8ea,70204,male,20 < Age ≤ 30,10,12,12,16,M1,70204
1cf7dd7b5a,15176,male,20 < Age ≤ 30,19,15,19,19,L2,88628
5f04e03605,45194,male,20 < Age ≤ 30,10,19,11,8,L2,45194
50128b8194,43108,male,20 < Age ≤ 30,20,16,7,17,M1,43108
61f50bd507,16411,male,20 < Age ≤ 30,10,8,12,14,M2,16411
bcd5ebb76c,56811,male,20 < Age ≤ 30,19,10,20,18,L1,56811
3b5e0a907f,56081,male,20 < Age ≤ 30,11,9,10,9,L3,56081
60e8a38e35,42434,male,20 < Age ≤ 30,17,9,9,18,M2,51517
b2001cc2bb,69193,male,20 < Age ≤ 30,14,20,18,10,L3,69193
0bc290f9a1,93178,male,20 < Age ≤ 30,16,12,16,18,L2,93178
6898d073cf,14348,male,20 < Age ≤ 30,14,15,20,16,L3,14348
d0a5682db0,8192,male,20 < Age ≤ 30,16,19,14,8,M2,8192
d7b41f2cb2,70460,male,20 < Age ≤ 30,19,12,20,18,M1,45914
33bb7fb805,80748,male,20 < Age ≤ 30,9,10,20,16,M1,95099
984bf97542,43375,male,20 < Age ≤ 30,14,12,9,9,L3,52956
e065a1f748,19516,male,20 < Age ≤ 30,18,19,7,17,M2,70515
921f7b8ea5,8157,male,20 < Age ≤ 30,7,7,20,17,L1,8157
2e823256cc,29671,male,20 < Age ≤ 30,10,10,14,8,M1,29671
7d7230a375,10050,male,20 < Age ≤ 30,16,7,8,9,M2,10050
415e93fd09,20398,male,20 < Age ≤ 30,18,11,11,9,L3,15467
3ef7ea00fc,65976,male,20 < Age ≤ 30,9,17,20,19,M2,84685
dac8e6b60e,72551,male,20 < Age ≤ 30,13,11,11,18,L1,56101
8399bbc70a,14806,male,20 < Age ≤ 30,12,16,14,16,L3,14806
8888de24ce,98191,male,20 < Age ≤ 30,20,17,12,18,L2,32156
8eddfdcc1a,14746,male,20 < Age ≤ 30,13,11,11,18,M2,16966
28522b62c9,56610,male,20 < Age ≤ 30,14,13,9,11,L3,56610
555e24498f,45641,male,20 < Age ≤ 30,16,17,10,16,M2,61408
4049c44733,53555,male,20 < Age ≤ 30,16,15,12,15,M2,82673
7d9b6fe7f9,33288,male,20 < Age ≤ 30,8,8,16,10,M2,33288
1ac4bfe08c,21217,male,20 < Age ≤ 30,20,15,9,7,L1,21217
25cceac917,80769,male,20 < Age ≤ 30,13,20,10,13,M1,25940
585d9bcddb,83944,male,20 < Age ≤ 30,15,13,13,13,L3,83944
c81a6bc7fc,18042,male,20 < Age ≤ 30,7,13,10,9,L3,15461
8d93644a16,33517,male,20 < Age ≤ 30,20,18,18,12,L3,33517
163bc3a6ff,66091,male,20 < Age ≤ 30,11,17,16,9,L2,66091
20e4df985e,9939,male,20 < Age ≤ 30,10,13,7,19,L1,9939
e7acfda536,3619,male,20 < Age ≤ 30,16,11,12,14,M2,3619
fdf5b592af,40231,male,20 < Age ≤ 30,14,15,12,15,M2,47383
b40ad4281e,7635,male,20 < Age ≤ 30,20,17,8,16,L1,7546
3e0c6e1394,5764,male,20 < Age ≤ 30,7,10,19,13,M1,5764
964b5fcf72,22311,male,20 < Age ≤ 30,20,10,10,17,L3,12544
7e53979e84,5731,male,20 < Age ≤ 30,19,12,8,7,M2,5731
4f539d88aa,68318,male,20 < Age ≤ 30,12,12,14,14,L2,68318
fa6be5a4c6,30702,male,20 < Age ≤ 30,8,15,13,11,L3,56329
f35d8e1fe1,43019,male,20 < Age ≤ 30,10,18,20,10,L2,43019
45dd9a6f85,80593,male,20 < Age ≤ 30,7,11,14,11,M1,80593
2b30a1ed6b,26219,male,20 < Age ≤ 30,8,8,14,14,M2,37019
0235c7c070,86558,male,20 < Age ≤ 30,10,14,13,17,L3,84086
8f80f7ab5f,83427,male,20 < Age ≤ 30,14,13,14,20,M1,62181
a21207e35c,87981,male,20 < Age ≤ 30,16,9,10,20,M2,87981
c0de407e39,19722,male,20 < Age ≤ 30,9,12,20,7,M1,22055
e2e9f08957,89685,male,20 < Age ≤ 30,11,11,16,18,L3,89685
a494556348,14373,male,20 < Age ≤ 30,16,13,7,12,M1,14373
4ebc61ea9e,75741,male,20 < Age ≤ 30,20,10,9,19,M2,75741
78f2925fc4,16332,male,20 < Age ≤ 30,10,8,14,7,L1,16332
877a865096,70698,male,20 < Age ≤ 30,7,7,20,8,M1,70698
35f88a26b5,62449,male,20 < Age ≤ 30,11,15,18,9,M2,62449
88a1a3c14d,58909,male,20 < Age ≤ 30,19,8,15,14,L2,58909
5fbfb90c64,75495,male,20 < Age ≤ 30,9,16,8,19,M1,59697
2d301c4d21,57273,male,20 < Age ≤ 30,14,20,20,16,L1,90835
4eaf26d8ad,27477,male,20 < Age ≤ 30,9,10,20,9,L1,27477
86a0bc19dc,48682,male,20 < Age ≤ 30,17,11,15,19,L1,44500
3e257ee1fa,47111,male,20 < Age ≤ 30,18,13,16,16,L1,47111
0da8538355,26582,male,20 < Age ≤ 30,19,17,17,19,L3,26582
7af519f3b7,57984,male,20 < Age ≤ 30,9,9,11,8,M1,57984
22f32feb76,99516,male,20 < Age ≤ 30,11,20,9,9,L1,99516
e817ff3089,32127,male,20 < Age ≤ 30,20,11,16,11,L1,32127
3da4eff1ba,16404,male,20 < Age ≤ 30,12,9,11,20,M2,16404
c15f14d42c,39617,male,20 < Age ≤ 30,18,11,19,18,L3,39617
22809bd5ff,59094,male,20 < Age ≤ 30,18,20,12,11,M1,56188
0619d5604a,22364,male,20 < Age ≤ 30,19,14,17,8,L3,22364
0947b2bd8c,85894,male,20 < Age ≤ 30,19,15,15,15,L3,85894
36f1bb768a,68370,male,20 < Age ≤ 30,15,16,9,19,M1,68370
20e391fb18,16470,male,20 < Age ≤ 30,17,10,9,9,M1,21580
cd9dfde182,34243,male,20 < Age ≤ 30,11,8,15,19,L2,15265
c45ea9b554,82790,male,20 < Age ≤ 30,19,13,9,19,L2,60934
11b76efd3c,19178,male,20 < Age ≤ 30,15,15,19,10,M1,70281
5597e9426b,99083,male,20 < Age ≤ 30,20,11,8,12,L3,23238
9de0bf7284,44444,male,20 < Age ≤ 30,20,13,20,13,L1,44444
e3765a925d,24527,male,20 < Age ≤ 30,16,10,13,18,L3,24527
9ffcaf016a,8363,male,20 < Age ≤ 30,10,18,18,19,L2,8363
b96403bf3e,28401,male,20 < Age ≤ 30,8,11,13,13,M2,50921
ae807a8428,90234,male,20 < Age ≤ 30,19,17,10,16,L2,98314
8110365b37,62895,male,20 < Age ≤ 30,7,8,8,20,M2,87407
16fdd9c1b7,92212,male,20 < Age ≤ 30,16,18,17,8,L2,92212
e8e5a3a0ee,41001,male,20 < Age ≤ 30,19,17,14,11,M1,41001
e1af8d13b8,12308,male,20 < Age ≤ 30,8,17,8,8,L2,96288
addecc8c53,92616,male,20 < Age ≤ 30,16,9,19,20,M2,74805
5d26ba14a0,18215,male,20 < Age ≤ 30,10,14,16,8,M1,94155
d43bdc58bb,58397,male,20 < Age ≤ 30,12,18,10,10,M1,58397
40d16cbff5,64036,male,20 < Age ≤ 30,19,8,12,12,L3,64036
b117f962d2,98784,male,20 < Age ≤ 30,10,17,15,14,L2,72555
bb3c114277,35659,male,20 < Age ≤ 30,11,13,11,9,L2,82931
261cac3af7,59806,male,20 < Age ≤ 30,17,19,10,12,L1,59806
52e0c62919,68847,male,20 < Age ≤ 30,8,7,7,7,L2,68847
29cfbc858e,45753,male,20 < Age ≤ 30,12,17,7,14,L2,84254
128784995f,89661,male,20 < Age ≤ 30,19,18,13,12,L1,89661
fc7a544f40,31810,male,20 < Age ≤ 30,18,15,14,16,L3,31810
24d9491173,82411,male,20 < Age ≤ 30,20,18,11,11,L2,58501
8064754a92,92755,male,20 < Age ≤ 30,11,16,18,10,M1,42834
13a13f9287,51274,male,20 < Age ≤ 30,13,16,17,19,L3,51274
e39a668cf1,87149,male,20 < Age ≤ 30,11,7,15,18,M2,87149
cc3be840c4,57283,male,20 < Age ≤ 30,12,11,10,19,L2,57283
3bc643ef91,12813,male,20 < Age ≤ 30,19,7,14,18,L1,13138
83aed9fdd2,55961,male,20 < Age ≤ 30,17,19,16,12,L3,55961
a05ad3b465,13470,male,20 < Age ≤ 30,10,7,13,12,L3,13470
a2e8edcf17,15285,male,20 < Age ≤ 30,12,17,17,20,L1,52172
d1d390c835,88490,male,20 < Age ≤ 30,10,19,17,16,M1,48226
9b3e70a23d,67469,male,20 < Age ≤ 30,17,15,8,19,L1,99453
4cef7238c3,36031,male,20 < Age ≤ 30,16,17,10,17,L1,24990
272a410ff0,25947,male,20 < Age ≤ 30,20,15,16,17,L1,70439
d509736435,66610,male,20 < Age ≤ 30,18,9,18,9,L1,43853
853949ad15,98426,male,20 < Age ≤ 30,15,18,8,13,M1,98426
e848b06217,48897,male,20 < Age ≤ 30,12,19,18,20,L2,48897
4298d8f3fa,63996,male,20 < Age ≤ 30,7,10,20,9,L1,21131
ad3b001fd0,73359,male,20 < Age ≤ 30,16,13,8,12,M1,73359
7ab313b104,15667,male,20 < Age ≤ 30,11,12,14,12,L2,15667
4c92a131a2,49628,male,20 < Age ≤ 30,7,9,15,20,M1,49628
87f4e50bc9,76984,male,20 < Age ≤ 30,14,9,12,19,L2,76984
4403de36f2,71943,male,20 < Age ≤ 30,8,11,20,7,M2,71943
44fae4e951,40252,male,20 < Age ≤ 30,8,10,14,9,L1,40252
a5c4e42c52,82663,male,20 < Age ≤ 30,12,13,16,17,M2,92180
4020cac8ff,54134,male,20 < Age ≤ 30,19,13,10,15,M1,54134
0b3a375292,71643,male,20 < Age ≤ 30,10,18,11,12,L2,26421
9bb9bff824,44697,male,20 < Age ≤ 30,14,20,11,7,M2,44697
c8dd94566f,22778,male,20 < Age ≤ 30,16,19,12,19,L1,22778
369dc79fe9,85352,male,20 < Age ≤ 30,17,15,17,16,L2,85352
fee14f82b6,58265,male,20 < Age ≤ 30,20,13,7,13,L3,61342
e78993ec4b,20117,male,20 < Age ≤ 30,20,8,16,19,M2,58291
c5c61abe73,71326,male,20 < Age ≤ 30,11,16,10,19,L3,71326
868089f739,33525,male,20 < Age ≤ 30,13,20,15,9,L2,33525
56889f703c,52953,male,20 < Age ≤ 30,16,13,17,8,M1,52953
f25e9ec041,87313,male,20 < Age ≤ 30,8,8,13,18,M2,18844
6cd886c7f0,4568,male,20 < Age ≤ 30,20,15,13,18,L2,6383
9dd1a1e555,80006,male,20 < Age ≤ 30,7,7,18,20,M2,80006
0f0648b751,68494,male,20 < Age ≤ 30,20,13,7,20,M2,68494
c9dc07f242,46831,male,20 < Age ≤ 30,20,10,13,16,M1,64470
8b27410251,32930,male,20 < Age ≤ 30,18,15,14,9,L1,32930
b830be4157,94947,male,20 < Age ≤ 30,19,10,12,13,M1,94947
5e2fdbac60,43970,male,20 < Age ≤ 30,17,7,20,12,L2,43970
a865bac38c,88666,male,20 < Age ≤ 30,10,20,20,19,L1,88666
1df9d3a5eb,18664,male,20 < Age ≤ 30,17,10,9,19,M2,18664
