Pseudo ID,ZIPCODE,gender,Age,S1,S2,S3,S4,Academic Level
30d8177f39,62799,male,20 < Age ≤ 30,15,18,9,10,L3
f67fa756c7,25168,male,20 < Age ≤ 30,7,7,17,17,M1
ac843849b3,52716,male,20 < Age ≤ 30,7,17,19,15,L1
244ad39fe2,70589,male,20 < Age ≤ 30,7,19,20,11,M1
4359a72fff,54405,male,20 < Age ≤ 30,10,19,15,19,L3
a3de28103c,9620,male,20 < Age ≤ 30,19,12,20,10,L3
a3b81b1e03,13127,male,20 < Age ≤ 30,7,8,17,18,L2
7df559af2a,6478,male,20 < Age ≤ 30,14,12,11,12,L1
304e89bc4c,84391,male,20 < Age ≤ 30,13,14,16,7,L2
6859ba3440,14233,male,20 < Age ≤ 30,20,18,7,8,L1
37b28c49b4,34032,male,20 < Age ≤ 30,17,12,12,11,L2
28732ef98d,95096,male,20 < Age ≤ 30,20,7,7,12,M2
c189fc9c71,35799,male,20 < Age ≤ 30,10,17,17,20,M2
54fa590acc,42698,male,20 < Age ≤ 30,13,18,12,14,M2
8d28b7edb2,28221,male,20 < Age ≤ 30,7,9,7,11,M2
c547fe2a6c,54422,male,20 < Age ≤ 30,18,12,16,20,M1
21e015fae4,37961,male,20 < Age ≤ 30,14,20,19,19,L3
3f7f24bc1c,9490,male,20 < Age ≤ 30,10,19,9,16,M1
3f1e3cd99d,25155,male,20 < Age ≤ 30,10,20,10,9,M1
8c47fb90f9,9389,male,20 < Age ≤ 30,8,8,16,20,L2
3b7c4b247d,29622,male,20 < Age ≤ 30,13,9,9,18,M1
62c8e08a12,73506,male,20 < Age ≤ 30,15,12,14,10,M2
6570b483a9,74842,male,20 < Age ≤ 30,9,12,19,14,L3
bdd57fd098,67573,male,20 < Age ≤ 30,13,9,12,20,L1
748b62eb15,25133,male,20 < Age ≤ 30,7,10,9,20,M1
5d45e5db12,96557,male,20 < Age ≤ 30,12,7,14,8,M1
c06c4a3292,45314,male,20 < Age ≤ 30,10,9,9,18,M2
f7a7904ed2,98238,male,20 < Age ≤ 30,15,10,19,12,M1
7c8c93d8f7,54035,male,20 < Age ≤ 30,15,20,13,13,M2
7ecb22520b,39707,male,20 < Age ≤ 30,15,18,8,10,M2
8edac10fc5,31245,male,20 < Age ≤ 30,19,19,7,13,L2
d8dcb8a82b,27860,male,20 < Age ≤ 30,16,16,8,10,M2
edfc03a15a,7958,male,20 < Age ≤ 30,16,17,7,20,L3
56399a85f9,52191,male,20 < Age ≤ 30,12,14,15,16,L2
d1c759a56c,2772,male,20 < Age ≤ 30,17,18,16,19,L1
4f14dbce92,73554,male,20 < Age ≤ 30,11,8,17,13,M2
d311f8e1da,56515,male,20 < Age ≤ 30,12,18,7,12,L3
752e8a674f,5893,male,20 < Age ≤ 30,20,17,10,18,M1
5d20d32005,97818,male,20 < Age ≤ 30,9,11,15,14,L3
c532782087,14460,male,20 < Age ≤ 30,13,17,17,11,L3
5b11832946,84473,male,20 < Age ≤ 30,7,7,17,16,M1
83cafd6d0d,16655,male,20 < Age ≤ 30,18,11,12,11,L3
d62676e316,72571,male,20 < Age ≤ 30,12,8,10,10,M1
482d2853e7,23889,male,20 < Age ≤ 30,15,7,14,11,M1
38319845de,4368,male,20 < Age ≤ 30,11,20,16,15,M1
37e0edb5a3,59046,male,20 < Age ≤ 30,15,9,16,7,M2
66f50fd576,36613,male,20 < Age ≤ 30,18,8,20,17,L3
968b7b5287,14110,male,20 < Age ≤ 30,13,17,12,16,L3
5d1a6aad44,48033,male,20 < Age ≤ 30,11,19,7,19,M1
5ccde5d2ee,43892,male,20 < Age ≤ 30,17,15,15,11,L2
73604db369,93061,male,20 < Age ≤ 30,9,18,8,8,M1
7f5fa08f10,2867,male,20 < Age ≤ 30,19,8,15,8,M1
015d775875,79454,male,20 < Age ≤ 30,16,16,9,15,M1
09754372c1,21388,male,20 < Age ≤ 30,16,15,7,15,M1
8108e6e7d9,43719,male,20 < Age ≤ 30,20,11,9,19,M2
ab82d83e01,23996,male,20 < Age ≤ 30,13,11,16,11,M2
5a9e19aaa0,88368,male,20 < Age ≤ 30,9,18,15,9,M1
b8311372c7,94673,male,20 < Age ≤ 30,17,20,18,11,L3
52958549c2,4169,male,20 < Age ≤ 30,8,12,10,13,L1
bcf9a21ae6,51555,male,20 < Age ≤ 30,10,13,20,8,M2
f74612fbfe,51877,male,20 < Age ≤ 30,9,12,12,18,M1
3250b37fa8,4139,male,20 < Age ≤ 30,10,11,19,8,M2
f8c844405e,46202,male,20 < Age ≤ 30,15,7,18,13,L1
dd2e030598,26378,male,20 < Age ≤ 30,15,20,8,14,M2
cd341de512,62336,male,20 < Age ≤ 30,20,10,10,14,L3
3ef237f8ac,6480,male,20 < Age ≤ 30,15,16,15,15,M2
d2d4fbb903,42021,male,20 < Age ≤ 30,16,14,11,15,L3
6c2e9a87c2,9865,male,20 < Age ≤ 30,12,17,17,11,L1
912cf8c453,73316,male,20 < Age ≤ 30,12,18,15,18,L1
998b72ba1d,87150,male,20 < Age ≤ 30,12,16,10,18,L2
109c18e132,78963,male,20 < Age ≤ 30,11,7,12,20,L2
68029d3bf7,79611,male,20 < Age ≤ 30,12,16,10,12,M1
6edccd4fdd,6342,male,20 < Age ≤ 30,10,15,19,20,L1
852822da83,50498,male,20 < Age ≤ 30,11,8,7,19,L2
854a8a6065,64323,male,20 < Age ≤ 30,18,12,11,16,L3
5a560e145a,53628,male,20 < Age ≤ 30,19,19,16,15,L1
e269e94503,55735,male,20 < Age ≤ 30,17,19,12,16,L1
79f9a92385,17682,male,20 < Age ≤ 30,16,11,18,16,M2
63f5198438,73735,male,20 < Age ≤ 30,20,15,13,9,M1
8d2552b267,28738,male,20 < Age ≤ 30,11,20,14,15,L3
c317c9e4c4,77400,male,20 < Age ≤ 30,19,19,13,11,M1
107dce01b6,83599,male,20 < Age ≤ 30,8,14,10,10,L2
a17dbe28e0,47147,male,20 < Age ≤ 30,8,20,11,8,M1
e8c59615b3,15051,male,20 < Age ≤ 30,11,11,15,17,L1
1c15e20317,2873,male,20 < Age ≤ 30,17,19,19,15,L3
60c643c0f3,88047,male,20 < Age ≤ 30,15,11,13,12,L3
49aacdf061,25694,male,20 < Age ≤ 30,12,10,9,19,L1
5bc00b13ef,75422,male,20 < Age ≤ 30,20,14,10,16,M2
817adc7b11,969,male,20 < Age ≤ 30,15,10,14,14,M1
0e0962323e,68428,male,20 < Age ≤ 30,11,15,10,15,L3
231d672b01,81252,male,20 < Age ≤ 30,19,9,19,19,M1
b7ba75cbfc,87360,male,20 < Age ≤ 30,12,9,8,7,L3
d1093a75bb,14254,male,20 < Age ≤ 30,7,16,19,18,M1
749e8eb72f,20023,male,20 < Age ≤ 30,13,10,16,11,L3
8379533699,95896,male,20 < Age ≤ 30,16,8,16,13,M2
ee6dc90ff6,17039,male,20 < Age ≤ 30,9,8,12,16,M1
8ce4ffa264,3713,male,20 < Age ≤ 30,12,18,8,16,M2
9aad5a1898,81790,male,20 < Age ≤ 30,18,13,7,8,L2
b8beb96207,57096,male,20 < Age ≤ 30,20,20,16,18,M1
f0efbb85f4,96014,male,20 < Age ≤ 30,18,15,20,10,L1
25c11e5b32,66684,male,20 < Age ≤ 30,11,14,19,8,L1
6090709f58,14450,male,20 < Age ≤ 30,9,17,18,7,L3
4fb80fbfee,67310,male,20 < Age ≤ 30,13,14,17,9,M2
5384225c16,36541,male,20 < Age ≤ 30,16,12,18,17,M2
f034d7e2de,6192,male,20 < Age ≤ 30,12,20,12,19,M2
242cf6b028,3238,male,20 < Age ≤ 30,20,12,20,9,M1
71d4b76ad5,43741,male,20 < Age ≤ 30,7,7,9,9,M2
b0d890b8ea,70443,male,20 < Age ≤ 30,10,12,12,16,M1
1cf7dd7b5a,12272,male,20 < Age ≤ 30,19,15,19,19,L2
5f04e03605,25792,male,20 < Age ≤ 30,10,19,11,8,L2
50128b8194,1408,male,20 < Age ≤ 30,20,16,7,17,M1
61f50bd507,16588,male,20 < Age ≤ 30,10,8,12,14,M2
bcd5ebb76c,5821,male,20 < Age ≤ 30,19,10,20,18,L1
3b5e0a907f,56075,male,20 < Age ≤ 30,11,9,10,9,L3
60e8a38e35,40736,male,20 < Age ≤ 30,17,9,9,18,M2
b2001cc2bb,61196,male,20 < Age ≤ 30,14,20,18,10,L3
0bc290f9a1,39578,male,20 < Age ≤ 30,16,12,16,18,L2
6898d073cf,1347,male,20 < Age ≤ 30,14,15,20,16,L3
d0a5682db0,5392,male,20 < Age ≤ 30,16,19,14,8,M2
d7b41f2cb2,73280,male,20 < Age ≤ 30,19,12,20,18,M1
33bb7fb805,84438,male,20 < Age ≤ 30,9,10,20,16,M1
984bf97542,43511,male,20 < Age ≤ 30,14,12,9,9,L3
e065a1f748,19515,male,20 < Age ≤ 30,18,19,7,17,M2
921f7b8ea5,8576,male,20 < Age ≤ 30,7,7,20,17,L1
2e823256cc,2631,male,20 < Age ≤ 30,10,10,14,8,M1
7d7230a375,19032,male,20 < Age ≤ 30,16,7,8,9,M2
415e93fd09,40399,male,20 < Age ≤ 30,18,11,11,9,L3
3ef7ea00fc,85575,male,20 < Age ≤ 30,9,17,20,19,M2
dac8e6b60e,12951,male,20 < Age ≤ 30,13,11,11,18,L1
8399bbc70a,95876,male,20 < Age ≤ 30,12,16,14,16,L3
8888de24ce,98475,male,20 < Age ≤ 30,20,17,12,18,L2
8eddfdcc1a,44733,male,20 < Age ≤ 30,13,11,11,18,M2
28522b62c9,57015,male,20 < Age ≤ 30,14,13,9,11,L3
555e24498f,75101,male,20 < Age ≤ 30,16,17,10,16,M2
4049c44733,73503,male,20 < Age ≤ 30,16,15,12,15,M2
7d9b6fe7f9,33445,male,20 < Age ≤ 30,8,8,16,10,M2
1ac4bfe08c,29610,male,20 < Age ≤ 30,20,15,9,7,L1
25cceac917,86760,male,20 < Age ≤ 30,13,20,10,13,M1
585d9bcddb,87948,male,20 < Age ≤ 30,15,13,13,13,L3
c81a6bc7fc,19061,male,20 < Age ≤ 30,7,13,10,9,L3
8d93644a16,39347,male,20 < Age ≤ 30,20,18,18,12,L3
163bc3a6ff,68398,male,20 < Age ≤ 30,11,17,16,9,L2
20e4df985e,9189,male,20 < Age ≤ 30,10,13,7,19,L1
e7acfda536,8009,male,20 < Age ≤ 30,16,11,12,14,M2
fdf5b592af,43137,male,20 < Age ≤ 30,14,15,12,15,M2
b40ad4281e,1075,male,20 < Age ≤ 30,20,17,8,16,L1
3e0c6e1394,4760,male,20 < Age ≤ 30,7,10,19,13,M1
964b5fcf72,26380,male,20 < Age ≤ 30,20,10,10,17,L3
7e53979e84,4930,male,20 < Age ≤ 30,19,12,8,7,M2
4f539d88aa,68106,male,20 < Age ≤ 30,12,12,14,14,L2
fa6be5a4c6,90795,male,20 < Age ≤ 30,8,15,13,11,L3
f35d8e1fe1,41859,male,20 < Age ≤ 30,10,18,20,10,L2
45dd9a6f85,88518,male,20 < Age ≤ 30,7,11,14,11,M1
2b30a1ed6b,66310,male,20 < Age ≤ 30,8,8,14,14,M2
0235c7c070,93555,male,20 < Age ≤ 30,10,14,13,17,L3
8f80f7ab5f,53527,male,20 < Age ≤ 30,14,13,14,20,M1
a21207e35c,97021,male,20 < Age ≤ 30,16,9,10,20,M2
c0de407e39,79224,male,20 < Age ≤ 30,9,12,20,7,M1
e2e9f08957,90485,male,20 < Age ≤ 30,11,11,16,18,L3
a494556348,77363,male,20 < Age ≤ 30,16,13,7,12,M1
4ebc61ea9e,75572,male,20 < Age ≤ 30,20,10,9,19,M2
78f2925fc4,17336,male,20 < Age ≤ 30,10,8,14,7,L1
877a865096,79588,male,20 < Age ≤ 30,7,7,20,8,M1
35f88a26b5,32089,male,20 < Age ≤ 30,11,15,18,9,M2
88a1a3c14d,58009,male,20 < Age ≤ 30,19,8,15,14,L2
5fbfb90c64,35428,male,20 < Age ≤ 30,9,16,8,19,M1
2d301c4d21,57977,male,20 < Age ≤ 30,14,20,20,16,L1
4eaf26d8ad,87367,male,20 < Age ≤ 30,9,10,20,9,L1
86a0bc19dc,18285,male,20 < Age ≤ 30,17,11,15,19,L1
3e257ee1fa,87901,male,20 < Age ≤ 30,18,13,16,16,L1
0da8538355,86780,male,20 < Age ≤ 30,19,17,17,19,L3
7af519f3b7,53915,male,20 < Age ≤ 30,9,9,11,8,M1
22f32feb76,99184,male,20 < Age ≤ 30,11,20,9,9,L1
e817ff3089,44107,male,20 < Age ≤ 30,20,11,16,11,L1
3da4eff1ba,16864,male,20 < Age ≤ 30,12,9,11,20,M2
c15f14d42c,99057,male,20 < Age ≤ 30,18,11,19,18,L3
22809bd5ff,50095,male,20 < Age ≤ 30,18,20,12,11,M1
0619d5604a,22761,male,20 < Age ≤ 30,19,14,17,8,L3
0947b2bd8c,87094,male,20 < Age ≤ 30,19,15,15,15,L3
36f1bb768a,60920,male,20 < Age ≤ 30,15,16,9,19,M1
20e391fb18,11840,male,20 < Age ≤ 30,17,10,9,9,M1
cd9dfde182,39343,male,20 < Age ≤ 30,11,8,15,19,L2
c45ea9b554,65797,male,20 < Age ≤ 30,19,13,9,19,L2
11b76efd3c,99572,male,20 < Age ≤ 30,15,15,19,10,M1
5597e9426b,44033,male,20 < Age ≤ 30,20,11,8,12,L3
9de0bf7284,41845,male,20 < Age ≤ 30,20,13,20,13,L1
e3765a925d,64877,male,20 < Age ≤ 30,16,10,13,18,L3
9ffcaf016a,3763,male,20 < Age ≤ 30,10,18,18,19,L2
b96403bf3e,78466,male,20 < Age ≤ 30,8,11,13,13,M2
ae807a8428,37234,male,20 < Age ≤ 30,19,17,10,16,L2
8110365b37,22854,male,20 < Age ≤ 30,7,8,8,20,M2
16fdd9c1b7,43912,male,20 < Age ≤ 30,16,18,17,8,L2
e8e5a3a0ee,21055,male,20 < Age ≤ 30,19,17,14,11,M1
e1af8d13b8,92310,male,20 < Age ≤ 30,8,17,8,8,L2
addecc8c53,52017,male,20 < Age ≤ 30,16,9,19,20,M2
5d26ba14a0,10315,male,20 < Age ≤ 30,10,14,16,8,M1
d43bdc58bb,88007,male,20 < Age ≤ 30,12,18,10,10,M1
40d16cbff5,69032,male,20 < Age ≤ 30,19,8,12,12,L3
b117f962d2,90514,male,20 < Age ≤ 30,10,17,15,14,L2
bb3c114277,25667,male,20 < Age ≤ 30,11,13,11,9,L2
261cac3af7,89805,male,20 < Age ≤ 30,17,19,10,12,L1
52e0c62919,68341,male,20 < Age ≤ 30,8,7,7,7,L2
29cfbc858e,15303,male,20 < Age ≤ 30,12,17,7,14,L2
128784995f,69762,male,20 < Age ≤ 30,19,18,13,12,L1
fc7a544f40,85910,male,20 < Age ≤ 30,18,15,14,16,L3
24d9491173,82254,male,20 < Age ≤ 30,20,18,11,11,L2
8064754a92,74255,male,20 < Age ≤ 30,11,16,18,10,M1
13a13f9287,50265,male,20 < Age ≤ 30,13,16,17,19,L3
e39a668cf1,73129,male,20 < Age ≤ 30,11,7,15,18,M2
cc3be840c4,67703,male,20 < Age ≤ 30,12,11,10,19,L2
3bc643ef91,10183,male,20 < Age ≤ 30,19,7,14,18,L1
83aed9fdd2,35908,male,20 < Age ≤ 30,17,19,16,12,L3
a05ad3b465,79400,male,20 < Age ≤ 30,10,7,13,12,L3
a2e8edcf17,12256,male,20 < Age ≤ 30,12,17,17,20,L1
d1d390c835,85694,male,20 < Age ≤ 30,10,19,17,16,M1
9b3e70a23d,66164,male,20 < Age ≤ 30,17,15,8,19,L1
4cef7238c3,32051,male,20 < Age ≤ 30,16,17,10,17,L1
272a410ff0,95998,male,20 < Age ≤ 30,20,15,16,17,L1
d509736435,68618,male,20 < Age ≤ 30,18,9,18,9,L1
853949ad15,58527,male,20 < Age ≤ 30,15,18,8,13,M1
e848b06217,98517,male,20 < Age ≤ 30,12,19,18,20,L2
4298d8f3fa,13893,male,20 < Age ≤ 30,7,10,20,9,L1
ad3b001fd0,77854,male,20 < Age ≤ 30,16,13,8,12,M1
7ab313b104,11614,male,20 < Age ≤ 30,11,12,14,12,L2
4c92a131a2,56128,male,20 < Age ≤ 30,7,9,15,20,M1
87f4e50bc9,96953,male,20 < Age ≤ 30,14,9,12,19,L2
4403de36f2,45983,male,20 < Age ≤ 30,8,11,20,7,M2
44fae4e951,40172,male,20 < Age ≤ 30,8,10,14,9,L1
a5c4e42c52,91633,male,20 < Age ≤ 30,12,13,16,17,M2
4020cac8ff,94564,male,20 < Age ≤ 30,19,13,10,15,M1
0b3a375292,74447,male,20 < Age ≤ 30,10,18,11,12,L2
9bb9bff824,73797,male,20 < Age ≤ 30,14,20,11,7,M2
c8dd94566f,23753,male,20 < Age ≤ 30,16,19,12,19,L1
369dc79fe9,2952,male,20 < Age ≤ 30,17,15,17,16,L2
fee14f82b6,30263,male,20 < Age ≤ 30,20,13,7,13,L3
e78993ec4b,29186,male,20 < Age ≤ 30,20,8,16,19,M2
c5c61abe73,11220,male,20 < Age ≤ 30,11,16,10,19,L3
868089f739,33852,male,20 < Age ≤ 30,13,20,15,9,L2
56889f703c,6853,male,20 < Age ≤ 30,16,13,17,8,M1
f25e9ec041,60343,male,20 < Age ≤ 30,8,8,13,18,M2
6cd886c7f0,9539,male,20 < Age ≤ 30,20,15,13,18,L2
9dd1a1e555,86012,male,20 < Age ≤ 30,7,7,18,20,M2
0f0648b751,64461,male,20 < Age ≤ 30,20,13,7,20,M2
c9dc07f242,61531,male,20 < Age ≤ 30,20,10,13,16,M1
8b27410251,92943,male,20 < Age ≤ 30,18,15,14,9,L1
b830be4157,74970,male,20 < Age ≤ 30,19,10,12,13,M1
5e2fdbac60,43710,male,20 < Age ≤ 30,17,7,20,12,L2
a865bac38c,98736,male,20 < Age ≤ 30,10,20,20,19,L1
1df9d3a5eb,13604,male,20 < Age ≤ 30,17,10,9,19,M2
e4bf1325e5,7087,male,20 < Age ≤ 30,13,19,8,13,L2
d43b4ab8d7,90281,male,20 < Age ≤ 30,17,16,15,14,L1
ee3704f343,12688,male,20 < Age ≤ 30,10,8,12,20,L2
8ee42e921b,89299,male,20 < Age ≤ 30,15,14,9,11,L2
04c380ecf6,83976,male,20 < Age ≤ 30,7,17,20,17,M2
e9866effe1,20190,male,20 < Age ≤ 30,11,10,20,20,L3
3b1dad21a6,69372,male,20 < Age ≤ 30,12,8,11,17,M1
66a95890bd,4779,male,20 < Age ≤ 30,8,11,20,15,M2
f4351531d2,5091,male,20 < Age ≤ 30,17,9,18,20,M1
e191345325,62243,male,20 < Age ≤ 30,12,17,15,9,M1
09c5031cc3,8272,male,20 < Age ≤ 30,19,7,18,16,M2
456b52570c,47512,male,20 < Age ≤ 30,19,7,12,10,L2
0e4de6e106,20624,male,20 < Age ≤ 30,11,8,9,13,L2
cecff9f3c1,97766,male,20 < Age ≤ 30,20,14,20,10,L3
01a9d8e3ff,79497,male,20 < Age ≤ 30,8,7,12,19,M2
9204637f8d,35583,male,20 < Age ≤ 30,7,18,12,15,M2
9ee5c73e5b,89704,male,20 < Age ≤ 30,9,11,10,17,L1
7bf7b85df2,66516,male,20 < Age ≤ 30,8,14,20,10,L1
d155865aec,9700,male,20 < Age ≤ 30,15,10,7,18,L3
8bfc1646d7,49934,male,20 < Age ≤ 30,18,13,18,18,L1
7374804e00,57148,male,20 < Age ≤ 30,14,17,19,14,L2
e335af20db,22631,male,20 < Age ≤ 30,7,12,13,20,L3
bbc77d1963,38424,male,20 < Age ≤ 30,8,20,19,8,L2
150c04a948,3661,male,20 < Age ≤ 30,14,7,12,19,M1
83a8493ad0,52894,male,20 < Age ≤ 30,11,14,11,12,L3
222ed23bbb,35591,male,20 < Age ≤ 30,12,10,9,8,L1
2688bb8176,84039,male,20 < Age ≤ 30,20,8,20,13,M2
d90f65a6a3,38562,male,20 < Age ≤ 30,9,15,9,14,L3
0d7a1bc28a,42905,male,20 < Age ≤ 30,18,14,7,7,L3
6bbdcf8e92,41432,male,20 < Age ≤ 30,19,17,19,15,M1
81c3264950,29282,male,20 < Age ≤ 30,11,10,15,9,L1
